mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.10422739982604981,0.04839478620183533,0.010126256942749023,0.003389243708680102,error,0.29051230009949147,7,3.6446665552711153,binary:logistic,0.017343207254236437,"{'eval_metric': 'error', 'learning_rate': np.float64(0.29051230009949147), 'max_depth': 7, 'min_split_loss': np.float64(3.6446665552711153), 'objective': 'binary:logistic', 'subsample': np.float64(0.017343207254236437)}",0.812,0.796,0.848,0.796,0.8,0.82,0.8514056224899599,0.7911646586345381,0.7991967871485943,0.8393574297188755,0.8153124497991969,0.021921547657627133,1
0.06292810440063476,0.039704852022032965,0.008981418609619141,0.003356554931855569,error,0.055146770762558875,9,6.743188275515201,reg:logistic,0.7495346269030292,"{'eval_metric': 'error', 'learning_rate': np.float64(0.055146770762558875), 'max_depth': 9, 'min_split_loss': np.float64(6.743188275515201), 'objective': 'reg:logistic', 'subsample': np.float64(0.7495346269030292)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,6
0.16085622310638428,0.006667111531935721,0.012756824493408203,0.001258198472814467,error,0.012048624960167677,9,1.111224114025896,reg:logistic,0.5974525347799216,"{'eval_metric': 'error', 'learning_rate': np.float64(0.012048624960167677), 'max_depth': 9, 'min_split_loss': np.float64(1.111224114025896), 'objective': 'reg:logistic', 'subsample': np.float64(0.5974525347799216)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,6
0.1000626802444458,0.0062053070921695075,0.01034529209136963,0.0015550947583811315,error,0.0231901688777068,5,0.6645269808199694,reg:logistic,0.6203701703722295,"{'eval_metric': 'error', 'learning_rate': np.float64(0.0231901688777068), 'max_depth': 5, 'min_split_loss': np.float64(0.6645269808199694), 'objective': 'reg:logistic', 'subsample': np.float64(0.6203701703722295)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,6
0.05469365119934082,0.00367259252383311,0.01169757843017578,0.0022754232612468245,error,0.2158542389204601,6,9.640308073661206,binary:logistic,0.3571733279407342,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2158542389204601), 'max_depth': 6, 'min_split_loss': np.float64(9.640308073661206), 'objective': 'binary:logistic', 'subsample': np.float64(0.3571733279407342)}",0.784,0.8,0.84,0.768,0.792,0.808,0.8192771084337349,0.7630522088353414,0.751004016064257,0.8353413654618473,0.796067469879518,0.02870490690555825,5
0.05716309547424316,0.003999599217684742,0.011457204818725586,0.0018977913394131643,aucpr,0.04958315882249401,9,7.09692709471998,binary:logistic,0.7608898199558557,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.04958315882249401), 'max_depth': 9, 'min_split_loss': np.float64(7.09692709471998), 'objective': 'binary:logistic', 'subsample': np.float64(0.7608898199558557)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,6
0.0797156572341919,0.004237565638521648,0.011819791793823243,0.003907881756593452,error,0.23040243071237612,5,3.62653180216854,reg:logistic,0.5080597280974194,"{'eval_metric': 'error', 'learning_rate': np.float64(0.23040243071237612), 'max_depth': 5, 'min_split_loss': np.float64(3.62653180216854), 'objective': 'reg:logistic', 'subsample': np.float64(0.5080597280974194)}",0.812,0.8,0.844,0.808,0.788,0.82,0.8273092369477911,0.7871485943775101,0.7670682730923695,0.8433734939759037,0.8096899598393575,0.02371868134837447,2
0.307187819480896,0.0097344819982105,0.017454981803894043,0.004506832813383395,error,0.2588451836079363,8,0.13525279021665781,reg:logistic,0.8535864717187961,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2588451836079363), 'max_depth': 8, 'min_split_loss': np.float64(0.13525279021665781), 'objective': 'reg:logistic', 'subsample': np.float64(0.8535864717187961)}",0.788,0.804,0.84,0.796,0.804,0.808,0.8273092369477911,0.7751004016064257,0.7751004016064257,0.8353413654618473,0.8052851405622491,0.02193503915673217,3
0.06681675910949707,0.014067208970065512,0.012658405303955077,0.0039482364544343946,aucpr,0.07084244814583178,9,3.7887520957073284,reg:squarederror,0.5740024639218493,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.07084244814583178), 'max_depth': 9, 'min_split_loss': np.float64(3.7887520957073284), 'objective': 'reg:squarederror', 'subsample': np.float64(0.5740024639218493)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,6
0.055584383010864255,0.00796880459257273,0.01100473403930664,0.0028111804155142727,error,0.17492068149188278,9,5.235839997632756,reg:logistic,0.06179443187696143,"{'eval_metric': 'error', 'learning_rate': np.float64(0.17492068149188278), 'max_depth': 9, 'min_split_loss': np.float64(5.235839997632756), 'objective': 'reg:logistic', 'subsample': np.float64(0.06179443187696143)}",0.812,0.804,0.84,0.768,0.796,0.808,0.8152610441767069,0.7871485943775101,0.7469879518072289,0.8232931726907631,0.8000690763052208,0.025719369214800218,4
