mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.1262801170349121,0.07525447786962255,0.008639764785766602,0.002476877196251106,aucpr,0.013342121164316292,4,4.779694249497406,binary:logistic,0.8153630396876066,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.013342121164316292), 'max_depth': 4, 'min_split_loss': np.float64(4.779694249497406), 'objective': 'binary:logistic', 'subsample': np.float64(0.8153630396876066)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,10
0.059069132804870604,0.05345304448122951,0.007417607307434082,0.0038990013568166947,error,0.11073842120745446,4,6.002236366439825,binary:logistic,0.9075337585305251,"{'eval_metric': 'error', 'learning_rate': np.float64(0.11073842120745446), 'max_depth': 4, 'min_split_loss': np.float64(6.002236366439825), 'objective': 'binary:logistic', 'subsample': np.float64(0.9075337585305251)}",0.752,0.532,0.76,0.728,0.532,0.688,0.5301204819277109,0.5301204819277109,0.7309236947791165,0.5341365461847389,0.6317301204819277,0.10161559773831207,9
0.042461585998535153,0.004405384803134209,0.0073948860168457035,0.0011945409729139597,aucpr,0.14019721995362525,3,6.326230352984768,binary:logistic,0.9206311498609367,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.14019721995362525), 'max_depth': 3, 'min_split_loss': np.float64(6.326230352984768), 'objective': 'binary:logistic', 'subsample': np.float64(0.9206311498609367)}",0.752,0.772,0.772,0.736,0.756,0.76,0.7670682730923695,0.714859437751004,0.7550200803212851,0.7911646586345381,0.7576112449799196,0.019926376707816072,8
0.08211555480957031,0.004174729142667547,0.007993745803833007,0.001352503843220942,error,0.2914922791023084,8,2.188611400579221,binary:logistic,0.40350647191822997,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2914922791023084), 'max_depth': 8, 'min_split_loss': np.float64(2.188611400579221), 'objective': 'binary:logistic', 'subsample': np.float64(0.40350647191822997)}",0.808,0.804,0.836,0.792,0.8,0.816,0.8353413654618473,0.7871485943775101,0.7751004016064257,0.8433734939759037,0.8096963855421688,0.021613009492425807,3
0.06241099834442139,0.002853664731082211,0.008046627044677734,0.0020945910652499186,aucpr,0.2541957853852523,5,2.1940523985502622,binary:logistic,0.35633891165831444,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.2541957853852523), 'max_depth': 5, 'min_split_loss': np.float64(2.1940523985502622), 'objective': 'binary:logistic', 'subsample': np.float64(0.35633891165831444)}",0.808,0.804,0.848,0.804,0.792,0.82,0.8313253012048193,0.7831325301204819,0.7831325301204819,0.8313253012048193,0.8104915662650602,0.02072400165141062,2
0.17230665683746338,0.006104555303389477,0.011482501029968261,0.0015824858120310908,error,0.23937249653935289,9,0.01751667783577271,reg:logistic,0.45602930989099666,"{'eval_metric': 'error', 'learning_rate': np.float64(0.23937249653935289), 'max_depth': 9, 'min_split_loss': np.float64(0.01751667783577271), 'objective': 'reg:logistic', 'subsample': np.float64(0.45602930989099666)}",0.808,0.804,0.84,0.788,0.788,0.812,0.8232931726907631,0.7751004016064257,0.7710843373493976,0.8433734939759037,0.8052851405622491,0.02390106757602449,5
0.07154781818389892,0.0039031149346762093,0.010693621635437012,0.0017685976303677263,aucpr,0.11763123002296558,4,0.6066842690209162,reg:squarederror,0.37818484262313234,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.11763123002296558), 'max_depth': 4, 'min_split_loss': np.float64(0.6066842690209162), 'objective': 'reg:squarederror', 'subsample': np.float64(0.37818484262313234)}",0.768,0.8,0.8,0.764,0.796,0.784,0.7831325301204819,0.7429718875502008,0.751004016064257,0.8072289156626506,0.7796337349397591,0.021056432005856964,7
0.08111631870269775,0.005020517596374595,0.011495471000671387,0.0017154574779846413,aucpr,0.22194880930088035,7,2.432201802369929,binary:logistic,0.2709713921183585,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.22194880930088035), 'max_depth': 7, 'min_split_loss': np.float64(2.432201802369929), 'objective': 'binary:logistic', 'subsample': np.float64(0.2709713921183585)}",0.796,0.8,0.836,0.796,0.792,0.808,0.8353413654618473,0.7831325301204819,0.7791164658634538,0.8393574297188755,0.8064947791164659,0.021337364802702333,4
0.05385434627532959,0.003370006050041812,0.009676527976989747,0.0017771210266837479,aucpr,0.2978210479100697,9,7.870467640475882,binary:logistic,0.2899790380842817,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.2978210479100697), 'max_depth': 9, 'min_split_loss': np.float64(7.870467640475882), 'objective': 'binary:logistic', 'subsample': np.float64(0.2899790380842817)}",0.812,0.8,0.848,0.8,0.796,0.808,0.8273092369477911,0.7871485943775101,0.7871485943775101,0.8393574297188755,0.8104963855421687,0.020128034815142477,1
0.053860020637512204,0.004525058247700149,0.007984232902526856,0.0028639874577958985,error,0.17524943530280246,4,5.042048650576156,binary:logistic,0.8772689425459093,"{'eval_metric': 'error', 'learning_rate': np.float64(0.17524943530280246), 'max_depth': 4, 'min_split_loss': np.float64(5.042048650576156), 'objective': 'binary:logistic', 'subsample': np.float64(0.8772689425459093)}",0.784,0.8,0.84,0.768,0.792,0.808,0.8192771084337349,0.7630522088353414,0.7469879518072289,0.8353413654618473,0.7956658634538153,0.029353344190745957,6
