mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.08629741668701171,0.045568283492993626,0.007910895347595214,0.002056650326627394,error,0.2080811751657157,5,9.855206474135699,reg:logistic,0.08139577025769051,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2080811751657157), 'max_depth': 5, 'min_split_loss': np.float64(9.855206474135699), 'objective': 'reg:logistic', 'subsample': np.float64(0.08139577025769051)}",0.812,0.8,0.856,0.772,0.792,0.808,0.8273092369477911,0.7871485943775101,0.7871485943775101,0.8353413654618473,0.8076947791164659,0.0243413794428623,3
0.07123451232910157,0.024748791237012093,0.009047102928161622,0.003594772748540273,aucpr,0.12778173464026676,5,2.750895571787142,reg:logistic,0.935577431893436,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.12778173464026676), 'max_depth': 5, 'min_split_loss': np.float64(2.750895571787142), 'objective': 'reg:logistic', 'subsample': np.float64(0.935577431893436)}",0.784,0.804,0.82,0.76,0.8,0.808,0.7751004016064257,0.7630522088353414,0.7550200803212851,0.8232931726907631,0.7892465863453815,0.023938536480203873,7
0.05526449680328369,0.003257719209864364,0.011021018028259277,0.0018591569281585657,aucpr,0.10648127887915987,9,2.06340236663904,reg:squarederror,0.41301675591784537,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.10648127887915987), 'max_depth': 9, 'min_split_loss': np.float64(2.06340236663904), 'objective': 'reg:squarederror', 'subsample': np.float64(0.41301675591784537)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
0.04823389053344727,0.0022778315405537508,0.009927058219909668,0.0013216431070551126,aucpr,0.19141631619593216,8,6.468231325455179,reg:squarederror,0.9791558715483203,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.19141631619593216), 'max_depth': 8, 'min_split_loss': np.float64(6.468231325455179), 'objective': 'reg:squarederror', 'subsample': np.float64(0.9791558715483203)}",0.784,0.8,0.84,0.768,0.792,0.796,0.8192771084337349,0.7630522088353414,0.7550200803212851,0.8192771084337349,0.7936626506024096,0.02586489182562228,5
0.06568825244903564,0.0026171827983327805,0.011093473434448243,0.0018153607048306325,aucpr,0.2527900144088668,5,4.48325683726889,binary:logistic,0.4252238158754993,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.2527900144088668), 'max_depth': 5, 'min_split_loss': np.float64(4.48325683726889), 'objective': 'binary:logistic', 'subsample': np.float64(0.4252238158754993)}",0.812,0.804,0.844,0.812,0.792,0.816,0.8393574297188755,0.7871485943775101,0.7871485943775101,0.8473895582329317,0.8141044176706828,0.021669676458695695,1
0.09204826354980469,0.0033476172144402756,0.010689258575439453,0.0011649470904048006,aucpr,0.14035059829735327,7,1.8313829474841148,binary:logistic,0.19647108515574918,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.14035059829735327), 'max_depth': 7, 'min_split_loss': np.float64(1.8313829474841148), 'objective': 'binary:logistic', 'subsample': np.float64(0.19647108515574918)}",0.772,0.792,0.824,0.772,0.796,0.8,0.8072289156626506,0.7630522088353414,0.751004016064257,0.8273092369477911,0.790459437751004,0.024243708622728174,6
0.07164888381958008,0.004848866959152127,0.010498619079589844,0.0013924664638039954,error,0.2772089104948855,7,4.211997249233313,binary:logistic,0.7943045641457561,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2772089104948855), 'max_depth': 7, 'min_split_loss': np.float64(4.211997249233313), 'objective': 'binary:logistic', 'subsample': np.float64(0.7943045641457561)}",0.816,0.8,0.844,0.812,0.792,0.812,0.8273092369477911,0.7791164658634538,0.7791164658634538,0.8433734939759037,0.8104915662650602,0.02223188874448463,2
0.04987688064575195,0.004648140913447144,0.00936264991760254,0.001443474723234967,aucpr,0.1576513798724227,4,8.071878289279294,reg:squarederror,0.3967498188842211,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.1576513798724227), 'max_depth': 4, 'min_split_loss': np.float64(8.071878289279294), 'objective': 'reg:squarederror', 'subsample': np.float64(0.3967498188842211)}",0.784,0.792,0.792,0.744,0.784,0.776,0.7670682730923695,0.7630522088353414,0.7550200803212851,0.7951807228915663,0.7752321285140562,0.016472953395718797,8
0.05310721397399902,0.006944404795968792,0.008734774589538575,0.0014451854421073788,aucpr,0.06495915327162682,7,7.577108507235165,reg:squarederror,0.6519177765111945,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.06495915327162682), 'max_depth': 7, 'min_split_loss': np.float64(7.577108507235165), 'objective': 'reg:squarederror', 'subsample': np.float64(0.6519177765111945)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
0.04948720932006836,0.003313846493119181,0.007453393936157226,0.001210060529031441,error,0.2625470794321331,4,8.552639924859498,binary:logistic,0.8354954236419075,"{'eval_metric': 'error', 'learning_rate': np.float64(0.2625470794321331), 'max_depth': 4, 'min_split_loss': np.float64(8.552639924859498), 'objective': 'binary:logistic', 'subsample': np.float64(0.8354954236419075)}",0.812,0.8,0.856,0.792,0.792,0.808,0.8273092369477911,0.7630522088353414,0.7469879518072289,0.8353413654618473,0.8032690763052208,0.03087936926497172,4
