mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.1274163007736206,0.0725173124281757,0.008885359764099121,0.003622376068799677,aucpr,0.07454725037451215,6,6.687835017840429,binary:logistic,0.6388498525072207,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.07454725037451215), 'max_depth': 6, 'min_split_loss': np.float64(6.687835017840429), 'objective': 'binary:logistic', 'subsample': np.float64(0.6388498525072207)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
0.044931983947753905,0.015368241106070612,0.27692129611968996,0.5390742733276038,aucpr,0.05726139071692968,8,9.715139405794359,reg:logistic,0.8326661104160641,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.05726139071692968), 'max_depth': 8, 'min_split_loss': np.float64(9.715139405794359), 'objective': 'reg:logistic', 'subsample': np.float64(0.8326661104160641)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
0.4583300590515137,0.6153400108237926,0.012099647521972656,0.0022122273399839713,error,0.16559186177186083,6,6.469613398291933,reg:squarederror,0.4137921857461404,"{'eval_metric': 'error', 'learning_rate': np.float64(0.16559186177186083), 'max_depth': 6, 'min_split_loss': np.float64(6.469613398291933), 'objective': 'reg:squarederror', 'subsample': np.float64(0.4137921857461404)}",0.784,0.792,0.792,0.768,0.792,0.796,0.8192771084337349,0.7630522088353414,0.7550200803212851,0.8192771084337349,0.7880626506024097,0.02048058387590868,3
0.06024699211120606,0.0026087140266978525,0.010262298583984374,0.0018899967636929918,aucpr,0.10046345059278636,5,0.7519715412864658,reg:squarederror,0.18207790387463796,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.10046345059278636), 'max_depth': 5, 'min_split_loss': np.float64(0.7519715412864658), 'objective': 'reg:squarederror', 'subsample': np.float64(0.18207790387463796)}",0.752,0.792,0.768,0.728,0.748,0.76,0.751004016064257,0.714859437751004,0.7429718875502008,0.7911646586345381,0.7548000000000001,0.0233010528700699,6
0.10506660938262939,0.003911079873978937,0.011504483222961426,0.002360617590583323,aucpr,0.09758440480337925,7,0.5694868025979871,reg:squarederror,0.8084503554902018,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.09758440480337925), 'max_depth': 7, 'min_split_loss': np.float64(0.5694868025979871), 'objective': 'reg:squarederror', 'subsample': np.float64(0.8084503554902018)}",0.768,0.772,0.772,0.74,0.768,0.764,0.7710843373493976,0.7108433734939759,0.7349397590361446,0.8032128514056225,0.7604080321285142,0.024217633586954602,4
0.05772590637207031,0.0017233618747189263,0.011855697631835938,0.0018881474985220348,error,0.24223616633348435,3,4.255434613022801,binary:logistic,0.5415675786238217,"{'eval_metric': 'error', 'learning_rate': np.float64(0.24223616633348435), 'max_depth': 3, 'min_split_loss': np.float64(4.255434613022801), 'objective': 'binary:logistic', 'subsample': np.float64(0.5415675786238217)}",0.808,0.8,0.852,0.8,0.792,0.808,0.8313253012048193,0.7871485943775101,0.7831325301204819,0.8433734939759037,0.8104979919678715,0.022596739340634244,1
0.05051000118255615,0.0036733757534626477,0.01224827766418457,0.0026993669968154847,aucpr,0.11530321190458995,4,7.3968517871227535,reg:logistic,0.24089115430997599,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.11530321190458995), 'max_depth': 4, 'min_split_loss': np.float64(7.3968517871227535), 'objective': 'reg:logistic', 'subsample': np.float64(0.24089115430997599)}",0.532,0.532,0.532,0.532,0.544,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5328497991967872,0.00389796110041014,7
0.05767953395843506,0.005686924937401517,0.014121103286743163,0.0027746069752231485,aucpr,0.1171583523728016,5,4.039743878037011,binary:logistic,0.01848796378997386,"{'eval_metric': 'aucpr', 'learning_rate': np.float64(0.1171583523728016), 'max_depth': 5, 'min_split_loss': np.float64(4.039743878037011), 'objective': 'binary:logistic', 'subsample': np.float64(0.01848796378997386)}",0.696,0.784,0.796,0.732,0.8,0.78,0.7951807228915663,0.7349397590361446,0.7108433734939759,0.7590361445783133,0.7588,0.036084071121571575,5
0.252634859085083,0.009957450623455063,0.01732978820800781,0.0035511533450749435,error,0.13498889484727905,9,1.06087978023235,reg:logistic,0.922680910633244,"{'eval_metric': 'error', 'learning_rate': np.float64(0.13498889484727905), 'max_depth': 9, 'min_split_loss': np.float64(1.06087978023235), 'objective': 'reg:logistic', 'subsample': np.float64(0.922680910633244)}",0.776,0.804,0.812,0.768,0.796,0.804,0.7991967871485943,0.7791164658634538,0.7670682730923695,0.8273092369477911,0.7932690763052208,0.01898948885793644,2
0.057794952392578126,0.005705777861102791,0.013478326797485351,0.0026636253596315673,error,0.075872595703628,5,6.556099711301958,reg:squarederror,0.6774619476893717,"{'eval_metric': 'error', 'learning_rate': np.float64(0.075872595703628), 'max_depth': 5, 'min_split_loss': np.float64(6.556099711301958), 'objective': 'reg:squarederror', 'subsample': np.float64(0.6774619476893717)}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
