mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004960775375366211,0.0015809196859626954,0.0,0.0,sag,elasticnet,1.0,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,8
0.0025307337443033853,0.00032464395683054936,0.0,0.0,sag,l1,0.1,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.1}",,,,,,8
0.04180057843526205,0.028836470235451418,0.0033666292826334634,0.0009686649517563782,lbfgs,,10.0,"{'solver': 'lbfgs', 'penalty': None, 'C': 10}",0.8209134615384616,0.8040865384615384,0.8112980769230769,0.8120993589743589,0.006892888835771358,1
0.018233696619669598,0.005194028680667008,0.002929210662841797,0.0002441269652201035,saga,l2,10.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 10}",0.8197115384615384,0.8040865384615384,0.8112980769230769,0.811698717948718,0.006385167247800172,4
0.02628008524576823,0.006652817427222589,0.003689368565877279,0.0016095089199475176,sag,,1.0,"{'solver': 'sag', 'penalty': None, 'C': 1.0}",0.8197115384615384,0.8052884615384616,0.8112980769230769,0.8120993589743589,0.005915393854260158,1
0.02462911605834961,0.010518932376321781,0.006332874298095703,0.0006933260105935334,liblinear,l1,1.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1.0}",0.8221153846153846,0.8016826923076923,0.8112980769230769,0.811698717948718,0.008346420935897292,4
0.041846911112467446,0.013748829283444302,0.005333264668782552,0.001833640203816077,sag,l2,10.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 10}",0.8197115384615384,0.8040865384615384,0.8112980769230769,0.811698717948718,0.006385167247800172,4
0.0019354820251464844,0.0003557493357539381,0.0,0.0,liblinear,,0.1,"{'solver': 'liblinear', 'penalty': None, 'C': 0.1}",,,,,,8
0.012253204981486002,0.007928210033257296,0.002314329147338867,0.00015829497481121464,newton-cg,,1.0,"{'solver': 'newton-cg', 'penalty': None, 'C': 1.0}",0.8197115384615384,0.8052884615384616,0.8112980769230769,0.8120993589743589,0.005915393854260158,1
0.004467566808064778,0.00041129539871889086,0.0023522377014160156,0.00022660855037741226,liblinear,l2,0.01,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.01}",0.6971153846153846,0.7067307692307693,0.6911057692307693,0.6983173076923076,0.006435247758096564,7
