mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.060418923695882164,0.012634572318110653,0.003385305404663086,0.0003367885579393191,lbfgs,,1.0,"{'solver': 'lbfgs', 'penalty': None, 'C': 1.0}",0.8209134615384616,0.8040865384615384,0.8112980769230769,0.8120993589743589,0.006892888835771358,2
0.001867850621541341,0.0007501693833145142,0.0,0.0,newton-cg,elasticnet,1.0,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,6
0.00265653928120931,0.00040582523024602994,0.0,0.0,lbfgs,elasticnet,10.0,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 10}",,,,,,6
0.01476287841796875,0.0064090597588732775,0.003085613250732422,0.0004070709415219555,saga,l2,0.1,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.7992788461538461,0.7824519230769231,0.7944711538461539,0.7920673076923076,0.0070767314634036975,5
0.031215667724609375,0.003667432195797571,0.006039937337239583,0.00035102979505399415,saga,l1,100.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 100}",0.8197115384615384,0.8040865384615384,0.8112980769230769,0.811698717948718,0.006385167247800172,3
0.023564974466959637,0.010549136870600594,0.00790866216023763,0.0017194998764239096,liblinear,l1,0.1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.8245192307692307,0.7980769230769231,0.8064903846153846,0.8096955128205128,0.011030368507961668,4
0.0030035972595214844,0.00035696163639255756,0.0,0.0,sag,l1,0.01,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.01}",,,,,,6
0.022664546966552734,0.004671421614279763,0.006666342417399089,0.00458854041172853,saga,l1,10.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 10}",0.8221153846153846,0.8028846153846154,0.8125,0.8125,0.007850928662766569,1
0.0018554528554280598,0.0002678556309835683,0.0,0.0,sag,elasticnet,0.1,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.0020476182301839194,0.0003621136528400235,0.0,0.0,saga,elasticnet,0.1,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
